"Date","open ATER Price in USD","high ATER Price in USD","low ATER Price in USD","close ATER Price in USD","ATER Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"12-Jun-19",10,10.74,9.53,10,997632
"13-Jun-19",9.99,10.1499,9.1,9.17,224046
"14-Jun-19",9.15,9.22,8,8.5,142589,,98639
"17-Jun-19",8.46,8.4999,6.97,7.05,362600
"18-Jun-19",7.09,7.44,6.99,7.15,52689
"19-Jun-19",7.14,7.18,6.5,6.5,115569
"20-Jun-19",6.56,6.9,6.11,6.22,108278
"21-Jun-19",6.2,6.6185,6.2,6.31,43009
"24-Jun-19",6.35,6.8105,6.35,6.7,21957
"25-Jun-19",6.75,7.07,6.75,7.07,20446
"26-Jun-19",7.12,7.61,7.1181,7.61,63999
"27-Jun-19",7.65,7.99,7.61,7.98,35682
"28-Jun-19",7.914,8.07,7.236,8.07,27420,,152067
"01-Jul-19",8.16,8.16,7.35,7.84,23929
"02-Jul-19",7.59,7.774,7.13,7.35,37005
"03-Jul-19",7.31,7.52,7.31,7.31,2631
"05-Jul-19",7.24,7.67,7.2,7.64,17133
"08-Jul-19",7.86,7.86,7.1,7.16,20493
"09-Jul-19",7.25,7.5,7.25,7.5,35151
"10-Jul-19",7.5,7.63,7.25,7.44,22069
"11-Jul-19",7.75,7.75,7.07,7.25,22890
"12-Jul-19",7.25,7.46,7.07,7.28,18998
"15-Jul-19",7.49,7.49,7.08,7.28,12686,,140190
"16-Jul-19",7.21,7.54,7.1,7.5,27400
"17-Jul-19",7.458,7.515,7.26,7.35,31652
"18-Jul-19",7.46,7.5,7.21,7.41,12390
"19-Jul-19",7.35,7.5,7.22,7.5,6591
"22-Jul-19",7.55,7.775,7.35,7.495,26463
"23-Jul-19",7.5,7.64,7.071,7.5,14903
"24-Jul-19",7.3,7.44,7.11,7.24,33980
"25-Jul-19",7.3,7.32,6.76,7.05,34858
"22-Dec-20",15.4,16.92,14.73,16.22,1409514,2.014868
"23-Dec-20",17.01,17.9,15.2027,16.47,1272980,2.758178
"24-Dec-20",16.85,17.35,15.42,16.69,752583,2.737774
"25-Dec-20",,,,,,2.719623
"28-Dec-20",17.75,19.08,16.85,18.19,1783270,3.419619
"29-Dec-20",18.23,18.23,16.51,16.86,879232,3.478554
"30-Dec-20",17.02,17.98,15.67,17.39,547311,3.653098
"31-Dec-20",17.35,17.49,16.51,17.21,536873,3.917977,1333788
"01-Jan-21",,,,,,4.329604
"04-Jan-21",17.36,18.15,16.38,17.2,1107827,4.84796
"05-Jan-21",16.97,18.9,16.4154,17.98,965444,5.09716
"06-Jan-21",17.57,19.89,17.5344,19.12,1265257,4.764281
"07-Jan-21",19.81,20.75,19.77,20.08,1029090,4.701283
"08-Jan-21",19.73,21.147,19.7,20.92,876689,4.5351
"11-Jan-21",21.13,22.45,20.16,20.9,800891,5.28616
"12-Jan-21",20.9556,21.5982,20.01,21.56,511410,5.610479
"13-Jan-21",21.11,21.5306,20.15,20.33,563811,5.611119
"14-Jan-21",20.6,21.59,19.1,21.59,890885,5.428566
"15-Jan-21",21.63,22.8,19.3,22.55,1318285,5.335524,1889687
"18-Jan-21",,,,,,5.271778
"19-Jan-21",22.75,23.79,20.4,22.1,887833,5.167544
"20-Jan-21",22.1,25.13,22,24.19,1179992,5.345692
"21-Jan-21",25.37,25.94,23.1,24.49,1002222,5.272819
"22-Jan-21",23.99,26.3,23.69,26.02,968504,5.02614
"25-Jan-21",26.99,27.8,24.22,24.98,1040064,4.614999
"26-Jan-21",25.08,25.66,23.61,24.69,715756,4.477152
"27-Jan-21",23.69,25.2479,22.26,23.12,765670,4.554459
"28-Jan-21",23,24.4071,22.63,23.88,580343,4.884438
"29-Jan-21",23.19,24.99,22.66,23.02,909219,4.71187,1933931
"01-Feb-21",24,24,22.3,22.6,554277,4.796213
"02-Feb-21",24.96,28.75,23.77,28.43,1365158,4.776604
"03-Feb-21",29,33.45,29,32,1209976,4.754248
"04-Feb-21",33,33.89,28.815,33.4,1208561,4.685489
"05-Feb-21",34,35.23,31.9,33.54,779959,4.637775
"08-Feb-21",36.17,42,35.65,40.41,1228034,4.474124
"09-Feb-21",42.42,43.27,39.54,42,961431,4.542994
"10-Feb-21",42.27,43.72,37.6,41.44,1114155,4.851918
"11-Feb-21",43.34,43.83,39.64,43.03,721088,4.687459
"12-Feb-21",42.1,43.2097,39.63,43.06,907695,4.716206,1837965
"15-Feb-21",,,,,,4.622802
"16-Feb-21",43.6,47.85,42.51,47.53,1123926,4.64815
"17-Feb-21",47.14,48.99,44.3354,47.66,1185330,4.579142
"18-Feb-21",45.9,46.1,42,45.31,1236698,4.464476
"19-Feb-21",46.5,46.69,42.66,43.45,741006,4.614144
"22-Feb-21",41.97,48.75,41.4,46.43,968196,4.787007
"23-Feb-21",43.43,45.2099,36.31,45.03,1346333,4.49714
"24-Feb-21",44.65,48.89,42.76,45.25,722487,4.443413
"25-Feb-21",45.27,46.79,40.01,41.07,824704,4.041215
"26-Feb-21",41.01,42.5599,38.42,39.88,916965,4.196034,2137727
"01-Mar-21",41.01,45.22,40.01,43.95,969045,4.008308
"02-Mar-21",44.99,47.8,43.515,43.99,541039,3.881287
"03-Mar-21",44.48,44.9722,40.5,40.69,602771,3.793505
"04-Mar-21",39.56,40.8,31.02,31.96,2238428,3.308122
"05-Mar-21",35.801,36.989,27.54,33.85,2757060,3.073663
"08-Mar-21",35.85,37.13,32.61,36.23,1301550,3.376413
"09-Mar-21",36.92,38.82,32.01,36.48,1832852,3.167564
"10-Mar-21",37.1,39.77,31.4,32.42,1979801,3.317391
"11-Mar-21",34.6,35.77,31.22,34.32,1837273,3.510944
"12-Mar-21",33.16,34.69,32.4159,33.96,726048,3.429326
"15-Mar-21",32.77,33.959,29.5785,31.72,2199137,3.242916,2387469
"16-Mar-21",31.75,32.146,28.5,30.26,1523609,3.083795
"17-Mar-21",29.46,34.1299,29.001,33.16,1051274,2.835827
"18-Mar-21",32.09,36.36,31.5,32.85,1136899,2.513705
"19-Mar-21",32.01,36.3699,31.0245,35.45,889070,2.572764
"22-Mar-21",36.22,38.8,36.13,37.01,981675,2.578077
"23-Mar-21",36.01,38.28,34.51,34.7,869764,2.552021
"24-Mar-21",35.27,36,30.33,30.39,930252,2.568948
"25-Mar-21",28.1651,31.1465,28.01,30.44,871376,2.774198
"26-Mar-21",30.72,31.13,27.6,29.03,891975,2.713312
"29-Mar-21",29.24,30.2599,26.9,27.48,713244,2.839611
"30-Mar-21",26.5,28,26.25,28,863264,2.888149
"31-Mar-21",28.92,30.75,28.56,29.5,915173,2.849773,2293435
"01-Apr-21",31.02,32.7,30.07,31.82,620564
"02-Apr-21",,,,,,2.690674
"05-Apr-21",33.87,33.97,28.84,30.03,1167984,2.806129
"06-Apr-21",30,31.58,29.3,30.49,748800,3.304105
"07-Apr-21",30.45,30.57,28.42,28.85,423156,3.521659
"08-Apr-21",29.64,32,28.59,31.2,814374,3.467265
"09-Apr-21",30.75,31.21,29.62,30.71,387553,3.416914
"12-Apr-21",30.39,30.64,27.95,28.06,670103,3.464974
"13-Apr-21",28.49,28.71,26.57,27.44,678486,3.4737
"14-Apr-21",27.73,28,25.34,26.48,1388233,3.163596
"15-Apr-21",26.54,27,23.3201,24.08,1441716,3.100895,2633745
"16-Apr-21",24.25,24.92,22.56,23.6,1115369,3.175348
"19-Apr-21",23.31,23.69,21.8,22.3,861289,2.941788
"20-Apr-21",22.04,22.625,20,20.62,1115474,3.069737
"21-Apr-21",20.35,23.0365,19.6401,22.56,1822525,3.916028
"22-Apr-21",24,25.45,22.62,23.06,1513724,4.287033
"23-Apr-21",23.86,24.97,23.02,23.77,757700,4.544826
"26-Apr-21",24,25.7,23.79,25.6,729748,4.763306
"27-Apr-21",25.77,26.1821,23.7,24.24,639154,4.82608
"28-Apr-21",23.87,24.72,23.26,24.56,367090,5.092234
"29-Apr-21",25,25.36,23.46,23.7,682913,5.29023
"30-Apr-21",23.8815,23.8815,21.31,21.7,407170,1.519002,3940447
"03-May-21",22.11,22.19,20.17,20.66,815468,4.362063
"04-May-21",19.048,19.66,16.62,17.62,3115685,4.186876
"05-May-21",18.2026,18.2026,15.21,15.72,2123449,5.335047
"06-May-21",15.62,16.23,14.27,16.07,1996815,4.175302
"07-May-21",15.6,17.32,14.96,15.28,1304850,3.915132
"10-May-21",14.87,14.9,13.47,13.76,1368835,4.187811
"11-May-21",12.07,14.8966,11.81,14.28,1150605,4.213778
"12-May-21",14.05,14.62,13.47,13.77,848769,3.827468
"13-May-21",13.7,14.04,11.86,12.44,1077225,3.705308
"14-May-21",12.4,13.63,12.2255,12.85,711453,3.48403,3766454
"17-May-21",14,14.25,13.07,13.69,898737,3.538934
"18-May-21",14.58,17.37,14.2,16.2,2353960,3.235125
"19-May-21",15.2,15.69,14.32,15.53,1213472,3.168269
"20-May-21",15.3,17.41,15.3,17.12,1230712,3.214202
"21-May-21",17.73,17.83,16.06,17.04,1038242,3.223617
"24-May-21",16.96,17.25,15.25,16.4,1009418,3.281654
"25-May-21",16.98,18.0938,16.67,17.39,642619,3.208956
"26-May-21",17.42,18.74,17.4,18.23,578786,3.253381
"27-May-21",18.32,18.99,17.75,18.95,511501,3.343521
"28-May-21",18.92,19.25,17.8601,17.95,459282,3.422088,3931285
"31-May-21",,,,,,3.427285
"01-Jun-21",18,18.62,17.15,18.1,516860,3.556639
"02-Jun-21",17.98,18.3,17.27,18.13,485347,3.610201
"03-Jun-21",17.65,17.9,16.65,16.71,623017,3.690741
"04-Jun-21",17.18,17.85,16.76,17.47,428188,3.84994
"07-Jun-21",17.53,20.28,17.5,19.77,832786,4.093432
"08-Jun-21",20.36,21.07,18.21,19.82,913822,4.092958
"09-Jun-21",20.2,20.6,18.6,18.7,717648,4.112561
"10-Jun-21",18,18.12,15.6,15.7,1990236,4.101979
"11-Jun-21",15.45,16.07,15.3,15.81,820511,4.553532
"14-Jun-21",16.05,16.55,15.45,15.76,805599,4.460438
"15-Jun-21",15.62,15.62,14.7111,15.3,594977,4.355056,3901234
"16-Jun-21",15.3,15.94,14.85,15.5,603344,4.540608
"17-Jun-21",15.5,15.94,15.22,15.47,415618,4.743017
"18-Jun-21",15.3,15.75,14.87,15.07,543483,4.675318
"21-Jun-21",15.54,15.69,14.9501,15.67,445289,4.646528
"22-Jun-21",15.75,16.01,15.53,16.01,586597,4.771956
"23-Jun-21",16.05,16.49,15.95,16.17,374391,4.935345
"24-Jun-21",16.45,16.45,14.81,15.23,1032600,4.940523
"25-Jun-21",15.24,16.5,15.2,16.3,3155701,4.692326
"28-Jun-21",16.286,16.3,15.4,15.6,859387,4.833544
"29-Jun-21",15.63,15.79,14.82,14.97,619856,5.331457
"30-Jun-21",14.96,15.139,14.37,14.63,661718,5.480522,4459495
"01-Jul-21",14.63,15.28,14.57,14.99,546493,5.814214
"02-Jul-21",14.81,14.8947,13.4501,13.74,1084459,5.615386
"06-Jul-21",13.82,15.38,13.8001,14.78,757750,6.005755
"07-Jul-21",14.8,15.06,13.32,13.46,922170,5.88559
"08-Jul-21",12.87,13.87,12.62,13.07,978634,5.84391
"09-Jul-21",13.399,13.86,13.15,13.6,331160,5.652096
"12-Jul-21",13.6,13.6,12.75,12.91,482326,6.021235
"13-Jul-21",12.7,13.37,12.37,12.64,584782,6.127131
"14-Jul-21",12.67,12.98,11.87,12.09,676028,6.254612
"15-Jul-21",12,12.23,11.43,11.6,685679,5.988405,4383114
"16-Jul-21",11.92,11.95,10.495,10.54,783875,6.269838
"19-Jul-21",10.04,10.85,9.82,10.32,941162,5.894894
"20-Jul-21",10.51,10.85,10.01,10.77,850647,5.61643
"21-Jul-21",10.98,11.4,10.85,10.92,409226,5.686594
"22-Jul-21",11,11.2057,10.15,10.38,421651,5.748726
"23-Jul-21",10.47,10.62,9.59,9.71,648820,6.019167
"26-Jul-21",9.77,10.72,9.58,9.81,656137,5.90236
"27-Jul-21",9.66,9.8,8.78,9.47,743922,5.738168
"28-Jul-21",9.72,10.44,9.48,9.75,744517,5.873311
"29-Jul-21",9.82,9.9538,9.2,9.23,559144,5.856288
"30-Jul-21",8.98,9.47,8.9,9.03,349834,5.905073,4784631
"02-Aug-21",9.27,9.61,9.16,9.19,420929,5.896411
"03-Aug-21",9.12,9.15,8.6,9.09,568432,6.105168
"04-Aug-21",9,9.11,8.2,8.34,955173,5.938185
"05-Aug-21",8.29,8.85,8.22,8.6,603842,6.143743
"06-Aug-21",8.85,8.91,8.18,8.23,726163,6.283792
"09-Aug-21",5.17,5.57,4.81,5.49,9971009,5.540915
"10-Aug-21",5.17,5.22,4.55,4.86,6319064,5.310097
"11-Aug-21",4.82,4.8323,3.97,4.04,6065136,5.026544
"12-Aug-21",4.04,4.635,4,4.44,3539042,4.67073
"13-Aug-21",4.31,4.3851,4.01,4.04,2527708,4.289395,5777228
"16-Aug-21",4.056,4.09,3.61,3.66,2031225,4.334705
"17-Aug-21",3.682,3.81,3.41,3.63,1946285,3.939884
"18-Aug-21",3.6738,3.6988,3.45,3.49,1334856,3.868878
"19-Aug-21",3.467,3.6,3.33,3.53,1409685,4.034316
"20-Aug-21",3.46,3.54,3.11,3.115,3716282,4.006129
"23-Aug-21",3.21,3.37,3.04,3.22,2255336,4.111398
"24-Aug-21",3.3,3.95,3.2601,3.74,5768179,4.443977
"25-Aug-21",3.82,4.419,3.671,4.03,5075431,3.961308
"26-Aug-21",4.2,4.7,3.96,4.13,4956279,3.570433
"27-Aug-21",4.132,6.72,4.05,6.08,40087230,2.474716
"30-Aug-21",8.88,9,6.48,6.62,52160970,2.286444
"31-Aug-21",6.41,6.44,5.32,5.96,15246800,2.589873,6682257
"01-Sep-21",5.832,8,5.64,7.4,46512500,2.509963
"02-Sep-21",7.26,7.69,6.33,6.49,16298360,2.628166
"03-Sep-21",6.37,6.76,6.09,6.7,7560314,2.701368
"06-Sep-21",,,,,,2.629776
"07-Sep-21",6.904,7.99,6.73,7.12,17216020,2.728104
"08-Sep-21",7.155,10.47,7.12,9.21,89466200,2.137315
"09-Sep-21",8.959,11.23,8.58,10.18,74833170,1.794273
"10-Sep-21",10.481,13.25,10.25,11.8,78613780,1.606121
"13-Sep-21",14.3,19.1,14.19,17.98,242232100,1.136866
"14-Sep-21",16.67,16.68,10.703,10.96,104855900,1.06418
"15-Sep-21",10.03,11.72,9.34,11.25,54600840,1.056811,7515156
"16-Sep-21",10.78,10.98,9.72,9.96,15345980,1.075723
"17-Sep-21",9.53,11.97,9.14,11.06,35289620,1.084855
"20-Sep-21",10.73,13.4999,10.52,11.73,71191670,1.010458
"21-Sep-21",12.23,14.06,12.22,13,59793030,0.898964
"22-Sep-21",14.68,16.93,14.01,16.72,97495930,0.79247
"23-Sep-21",14.27,14.71,11.2,12,83118420,0.771411
"24-Sep-21",12.1,13.5,11.25,12.96,56639540,0.799904
"27-Sep-21",13.41,13.97,12,12.45,38179190,0.816788
"28-Sep-21",12.1,12.6499,11.31,11.37,19380090,0.805846
"29-Sep-21",11.1,11.47,9.67,9.96,17991330,0.828677
"30-Sep-21",10.04,11.78,9.11,10.83,37430840,0.786557,6967422
"01-Oct-21",11.2023,11.5299,10.35,10.49,20638920,0.764583
"04-Oct-21",10.22,10.44,9.42,9.52,12357940,0.714515
"05-Oct-21",9.67,10.3699,9.53,9.75,10927280,0.715313
"06-Oct-21",9.374,9.73,8.3,8.44,14285730,0.723388
"07-Oct-21",8.64,9.06,8.04,8.31,9710613,0.706912
"08-Oct-21",8.32,8.65,7.6601,7.75,9251585,0.627773
"11-Oct-21",7.79,8.85,7.671,8.31,14882430,0.600073
"12-Oct-21",8.26,8.7,7.85,8.08,6293793,0.619713
"13-Oct-21",8.12,8.5699,7.8,8.39,8792759,0.610705
"14-Oct-21",8.39,9,8.06,8.13,11851390,0.607338
"15-Oct-21",8.3,8.73,8.06,8.14,10908570,0.617513,8110987
"18-Oct-21",8.1,8.53,8.08,8.19,6022610,0.623638
"19-Oct-21",8.2,9.66,8.11,9.1,30232320,0.640139
"20-Oct-21",9.1,9.99,9.03,9.35,14658070,0.62845
"21-Oct-21",9.38,10.16,8.53,8.7,14444400,0.600452
"22-Oct-21",8.3,8.35,7.24,7.49,10824110,0.537388
"25-Oct-21",7.27,7.6519,7.03,7.14,5958962,0.536633
"26-Oct-21",7.01,7.1312,6.61,6.67,6870810,0.549215
"27-Oct-21",6.65,6.95,6.29,6.43,4983497,0.523499
"28-Oct-21",6.45,6.93,6.35,6.85,5239493,0.41137
"29-Oct-21",6.73,6.79,6.36,6.39,4447086
"16-Nov-21",,,,,,,,,0
